trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
MQ_A5-Weekday-SDon-047700_M42_X01,7:57:00,7:57:00,403249,1,1
MQ_A5-Weekday-SDon-047700_M42_X01,7:58:30,7:58:30,403251,2,1
MQ_A5-Weekday-SDon-047700_M42_X01,7:59:59,7:59:59,403252,3,1
MQ_A5-Weekday-SDon-047700_M42_X01,8:01:22,8:01:22,403253,4,1
MQ_A5-Weekday-SDon-047700_M42_X01,8:03:00,8:03:00,904041,5,1
MQ_A5-Weekday-SDon-047700_M42_X01,8:04:40,8:04:40,403805,6,1
MQ_A5-Weekday-SDon-047700_M42_X01,8:05:29,8:05:29,403257,7,2
MQ_A5-Weekday-SDon-047700_M42_X01,8:07:47,8:07:47,403830,8,2
MQ_A5-Weekday-SDon-047700_M42_X01,8:09:00,8:09:00,403354,9,2
MQ_A5-Weekday-SDon-047700_M42_X01,8:10:13,8:10:13,403259,10,2
MQ_A5-Weekday-SDon-047700_M42_X01,8:13:00,8:13:00,401851,11,2
MQ_A5-Weekday-SDon-047700_M42_X01,8:14:15,8:14:15,401852,12,2
MQ_A5-Weekday-SDon-047700_M42_X01,8:15:40,8:15:40,401853,13,1
MQ_A5-Weekday-SDon-047700_M42_X01,8:16:45,8:16:45,403486,14,1
MQ_A5-Weekday-SDon-047700_M42_X01,8:18:09,8:18:09,405118,15,1
MQ_A5-Weekday-SDon-047700_M42_X01,8:19:00,8:19:00,903082,16,1
