trip_id,arrival_time,departure_time,stop_id,stop_sequence,Required_Pods
OF_A5-Weekday-SDon-041700_SBS15_X50,6:57:00,6:57:00,401732,1,1
OF_A5-Weekday-SDon-041700_SBS15_X50,6:57:47,6:57:47,401738,2,1
OF_A5-Weekday-SDon-041700_SBS15_X50,7:01:27,7:01:27,405348,3,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:05:11,7:05:11,405653,4,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:08:00,7:08:00,803182,5,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:11:48,7:11:48,903129,6,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:14:58,7:14:58,401756,7,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:19:17,7:19:17,401761,8,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:23:40,7:23:40,401765,9,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:26:23,7:26:23,401768,10,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:29:35,7:29:35,401771,11,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:32:53,7:32:53,405342,12,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:34:55,7:34:55,403525,13,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:37:03,7:37:03,401779,14,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:40:39,7:40:39,405340,15,2
OF_A5-Weekday-SDon-041700_SBS15_X50,7:45:55,7:45:55,803109,16,1
OF_A5-Weekday-SDon-041700_SBS15_X50,7:47:00,7:47:00,403849,17,1
